"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Tawang","42.8 (2017)"
"West Kameng","39.4 (2017)"
"East Kameng","43 (2017)"
"Papum Pare","46.2 (2017)"
"Upper Subansiri","38.3 (2017)"
"West Siang","50.9 (2017)"
"East Siang","34.1 (2017)"
"Upper Siang","37.5 (2017)"
"Changlang","29.8 (2017)"
"Tirap","54.6 (2017)"
"Lower Subansiri","47.5 (2017)"
"Kurung Kumey","59.3 (2017)"
"Dibang Valley","49.9 (2017)"
"Lower Dibang Valley","30.4 (2017)"
"Lohit","49.6 (2017)"
"Anjaw","49.2 (2017)"
