"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Tawang","52.6 (2017)"
"West Kameng","39.7 (2017)"
"East Kameng","44.5 (2017)"
"Papum Pare","47.1 (2017)"
"Upper Subansiri","42.3 (2017)"
"West Siang","48.8 (2017)"
"East Siang","36.7 (2017)"
"Upper Siang","36.3 (2017)"
"Changlang","29.5 (2017)"
"Tirap","52.3 (2017)"
"Lower Subansiri","47.4 (2017)"
"Kurung Kumey","56 (2017)"
"Dibang Valley","47 (2017)"
"Lower Dibang Valley","32.3 (2017)"
"Lohit","47.3 (2017)"
"Anjaw","48.5 (2017)"
