"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Tawang","47 (2017)"
"West Kameng","39.5 (2017)"
"East Kameng","43.7 (2017)"
"Papum Pare","46.6 (2017)"
"Upper Subansiri","40.2 (2017)"
"West Siang","49.8 (2017)"
"East Siang","35.4 (2017)"
"Upper Siang","36.9 (2017)"
"Changlang","29.6 (2017)"
"Tirap","53.5 (2017)"
"Lower Subansiri","47.5 (2017)"
"Kurung Kumey","57.7 (2017)"
"Dibang Valley","48.5 (2017)"
"Lower Dibang Valley","31.4 (2017)"
"Lohit","48.6 (2017)"
"Anjaw","48.8 (2017)"
