"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Barpeta","67.6 (2017)"
"Cachar","66 (2017)"
"Bongaigaon","72.8 (2017)"
"Baksa","68.3 (2017)"
"Kokrajhar","73.9 (2017)"
"Dhubri","67.4 (2017)"
"Goalpara","64.8 (2017)"
"Morigaon","73.1 (2017)"
"Nagaon","74.3 (2017)"
"Sonitpur","56.2 (2017)"
"Lakhimpur","66.9 (2017)"
"Dhemaji","48.1 (2017)"
"Tinsukia","54.9 (2017)"
"Dibrugarh","51.1 (2017)"
"Sivasagar","60.1 (2017)"
"Jorhat","54.1 (2017)"
"Golaghat","56.3 (2017)"
"Karbi Anglong","54.8 (2017)"
"Dima Hasao","64.7 (2017)"
"Karimganj","67.4 (2017)"
"Hailakandi","70.2 (2017)"
"Chirang","62 (2017)"
"Kamrup","63.9 (2017)"
"Kamrup Metropolitan","61.2 (2017)"
"Nalbari","62.1 (2017)"
"Darrang","67.3 (2017)"
"Udalguri","61 (2017)"
