"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Barpeta","68.6 (2017)"
"Cachar","64.9 (2017)"
"Bongaigaon","72.5 (2017)"
"Baksa","65 (2017)"
"Kokrajhar","71.8 (2017)"
"Dhubri","70.2 (2017)"
"Goalpara","61.3 (2017)"
"Morigaon","72.8 (2017)"
"Nagaon","72.1 (2017)"
"Sonitpur","57.9 (2017)"
"Lakhimpur","66.5 (2017)"
"Dhemaji","48.5 (2017)"
"Tinsukia","54.5 (2017)"
"Dibrugarh","51.6 (2017)"
"Sivasagar","59.5 (2017)"
"Jorhat","53.3 (2017)"
"Golaghat","53.8 (2017)"
"Karbi Anglong","54.6 (2017)"
"Dima Hasao","62.1 (2017)"
"Karimganj","62.2 (2017)"
"Hailakandi","69.8 (2017)"
"Chirang","62.6 (2017)"
"Kamrup","63.7 (2017)"
"Kamrup Metropolitan","57.9 (2017)"
"Nalbari","63.3 (2017)"
"Darrang","65.8 (2017)"
"Udalguri","63.8 (2017)"
