"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Barpeta","68.1 (2017)"
"Cachar","65.5 (2017)"
"Bongaigaon","72.7 (2017)"
"Baksa","66.7 (2017)"
"Kokrajhar","72.9 (2017)"
"Dhubri","68.7 (2017)"
"Goalpara","63.2 (2017)"
"Morigaon","73 (2017)"
"Nagaon","73.3 (2017)"
"Sonitpur","57 (2017)"
"Lakhimpur","66.7 (2017)"
"Dhemaji","48.3 (2017)"
"Tinsukia","54.7 (2017)"
"Dibrugarh","51.4 (2017)"
"Sivasagar","59.8 (2017)"
"Jorhat","53.7 (2017)"
"Golaghat","55.1 (2017)"
"Karbi Anglong","54.7 (2017)"
"Dima Hasao","63.5 (2017)"
"Karimganj","65 (2017)"
"Hailakandi","70 (2017)"
"Chirang","62.3 (2017)"
"Kamrup","63.8 (2017)"
"Kamrup Metropolitan","59.7 (2017)"
"Nalbari","62.7 (2017)"
"Darrang","66.7 (2017)"
"Udalguri","62.3 (2017)"
