"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Araria","59.4 (2017)"
"Banka","60.4 (2017)"
"Aurangabad","59.3 (2017)"
"Arwal","57.1 (2017)"
"Katihar","58.3 (2017)"
"Darbhanga","44.3 (2017)"
"Gopalganj","61.2 (2017)"
"Begusarai","59.9 (2017)"
"Khagaria","58.2 (2017)"
"Bhagalpur","58.2 (2017)"
"Bhojpur","56.5 (2017)"
"Buxar","50.6 (2017)"
"Kaimur","59.5 (2017)"
"Gaya","58.8 (2017)"
"Jamui","56.6 (2017)"
"Jehanabad","54.5 (2017)"
"Pashchim Champaran","63.1 (2017)"
"Purba Champaran","53.8 (2017)"
"Madhubani","56 (2017)"
"Kishanganj","50.3 (2017)"
"Madhepura","60.7 (2017)"
"Muzaffarpur","57.4 (2017)"
"Munger","56.1 (2017)"
"Lakhisarai","59.7 (2017)"
"Nalanda","56.7 (2017)"
"Patna","62.8 (2017)"
"Nawada","58 (2017)"
"Sheohar","61.4 (2017)"
"Sitamarhi","51.8 (2017)"
"Supaul","60 (2017)"
"Purnia","59 (2017)"
"Saharsa","49 (2017)"
"Siwan","63.5 (2017)"
"Saran","62.6 (2017)"
"Vaishali","53.6 (2017)"
"Samastipur","60.1 (2017)"
"Sheikhpura","48.9 (2017)"
"Rohtas","59 (2017)"
