"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Araria","61.5 (2017)"
"Banka","58.3 (2017)"
"Aurangabad","59.8 (2017)"
"Arwal","57.3 (2017)"
"Katihar","56.2 (2017)"
"Darbhanga","48.1 (2017)"
"Gopalganj","62.4 (2017)"
"Begusarai","55.3 (2017)"
"Khagaria","55 (2017)"
"Bhagalpur","55.5 (2017)"
"Bhojpur","53.9 (2017)"
"Buxar","49.2 (2017)"
"Kaimur","61.9 (2017)"
"Gaya","58.3 (2017)"
"Jamui","57.2 (2017)"
"Jehanabad","50.2 (2017)"
"Pashchim Champaran","63.4 (2017)"
"Purba Champaran","55 (2017)"
"Madhubani","54.7 (2017)"
"Kishanganj","51.7 (2017)"
"Madhepura","57.6 (2017)"
"Muzaffarpur","57.2 (2017)"
"Munger","56.8 (2017)"
"Lakhisarai","60.2 (2017)"
"Nalanda","54.8 (2017)"
"Patna","59.5 (2017)"
"Nawada","58 (2017)"
"Sheohar","59 (2017)"
"Sitamarhi","52.7 (2017)"
"Supaul","59.7 (2017)"
"Purnia","58.8 (2017)"
"Saharsa","50.2 (2017)"
"Siwan","60.3 (2017)"
"Saran","63.3 (2017)"
"Vaishali","54 (2017)"
"Samastipur","57.9 (2017)"
"Sheikhpura","49.9 (2017)"
"Rohtas","57.6 (2017)"
