"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Araria","60.4 (2017)"
"Banka","59.4 (2017)"
"Aurangabad","59.6 (2017)"
"Arwal","57.2 (2017)"
"Katihar","57.3 (2017)"
"Darbhanga","46 (2017)"
"Gopalganj","61.7 (2017)"
"Begusarai","58 (2017)"
"Khagaria","56.5 (2017)"
"Bhagalpur","56.9 (2017)"
"Bhojpur","55.3 (2017)"
"Buxar","49.9 (2017)"
"Kaimur","60.7 (2017)"
"Gaya","58.6 (2017)"
"Jamui","56.9 (2017)"
"Jehanabad","52.6 (2017)"
"Pashchim Champaran","63.2 (2017)"
"Purba Champaran","54.3 (2017)"
"Madhubani","55.4 (2017)"
"Kishanganj","51 (2017)"
"Madhepura","59.2 (2017)"
"Muzaffarpur","57.3 (2017)"
"Munger","56.4 (2017)"
"Lakhisarai","59.9 (2017)"
"Nalanda","55.7 (2017)"
"Patna","61.3 (2017)"
"Nawada","58 (2017)"
"Sheohar","60.2 (2017)"
"Sitamarhi","52.2 (2017)"
"Supaul","59.9 (2017)"
"Purnia","58.9 (2017)"
"Saharsa","49.6 (2017)"
"Siwan","62.1 (2017)"
"Saran","62.9 (2017)"
"Vaishali","53.8 (2017)"
"Samastipur","59.1 (2017)"
"Sheikhpura","49.4 (2017)"
"Rohtas","58.4 (2017)"
