"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Koriya","50.5 (2017)"
"Jashpur","62.2 (2017)"
"Raigarh","51.1 (2017)"
"Korba","56.2 (2017)"
"Janjgir-Champa","47 (2017)"
"Bilaspur","48.9 (2017)"
"Kabeerdham","51.8 (2017)"
"Durg","53.4 (2017)"
"Raipur","47.6 (2017)"
"Mahasamund","43.1 (2017)"
"Dhamtari","42 (2017)"
"Bastar","51.5 (2017)"
"Narayanpur","57.3 (2017)"
"Dantewada","42.3 (2017)"
"Bijapur","46 (2017)"
"Surguja","69.3 (2017)"
"Rajnandgaon","52 (2017)"
"Uttar Bastar Kanker","46.6 (2017)"
