"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Koriya","47.2 (2017)"
"Jashpur","58 (2017)"
"Raigarh","50.2 (2017)"
"Korba","54.9 (2017)"
"Janjgir-Champa","45.1 (2017)"
"Bilaspur","45.5 (2017)"
"Kabeerdham","52.4 (2017)"
"Durg","52.7 (2017)"
"Raipur","47.3 (2017)"
"Mahasamund","41.9 (2017)"
"Dhamtari","43.5 (2017)"
"Bastar","52.3 (2017)"
"Narayanpur","54.1 (2017)"
"Dantewada","46.9 (2017)"
"Bijapur","49 (2017)"
"Surguja","66.9 (2017)"
"Rajnandgaon","51 (2017)"
"Uttar Bastar Kanker","44.8 (2017)"
