"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Koriya","48.9 (2017)"
"Jashpur","60.1 (2017)"
"Raigarh","50.6 (2017)"
"Korba","55.6 (2017)"
"Janjgir-Champa","46.2 (2017)"
"Bilaspur","47.2 (2017)"
"Kabeerdham","52.1 (2017)"
"Durg","53.1 (2017)"
"Raipur","47.4 (2017)"
"Mahasamund","42.5 (2017)"
"Dhamtari","42.7 (2017)"
"Bastar","51.9 (2017)"
"Narayanpur","55.4 (2017)"
"Dantewada","45.1 (2017)"
"Bijapur","47.7 (2017)"
"Surguja","68.1 (2017)"
"Rajnandgaon","51.5 (2017)"
"Uttar Bastar Kanker","45.7 (2017)"
