"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Banas Kantha","63.4 (2017)"
"Gandhinagar","54.3 (2017)"
"Ahmadabad","57.3 (2017)"
"Amreli","54 (2017)"
"Bhavnagar","62.2 (2017)"
"Anand","41.7 (2017)"
"Dahod","66.9 (2017)"
"Bharuch","44.6 (2017)"
"Kachchh","55.3 (2017)"
"Patan","60 (2017)"
"Mahesana","62.3 (2017)"
"Sabar Kantha","56 (2017)"
"Surendranagar","50 (2017)"
"Rajkot","59.2 (2017)"
"Jamnagar","50.9 (2017)"
"Porbandar","56.5 (2017)"
"Junagadh","58.6 (2017)"
"Kheda","61.1 (2017)"
"Panch Mahals","66.5 (2017)"
"Narmada","46.7 (2017)"
"The Dangs","60.9 (2017)"
"Navsari","61 (2017)"
"Surat","64.5 (2017)"
"Tapi","62.6 (2017)"
"Vadodara","54.1 (2017)"
"Valsad","57.1 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
