"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Banas Kantha","62.1 (2017)"
"Gandhinagar","54.6 (2017)"
"Ahmadabad","57.5 (2017)"
"Amreli","55 (2017)"
"Bhavnagar","61.3 (2017)"
"Anand","42.2 (2017)"
"Dahod","63.6 (2017)"
"Bharuch","47.5 (2017)"
"Kachchh","55.3 (2017)"
"Patan","57.7 (2017)"
"Mahesana","58.3 (2017)"
"Sabar Kantha","57.3 (2017)"
"Surendranagar","45.9 (2017)"
"Rajkot","59.1 (2017)"
"Jamnagar","50.3 (2017)"
"Porbandar","53.5 (2017)"
"Junagadh","59 (2017)"
"Kheda","59.8 (2017)"
"Panch Mahals","64.9 (2017)"
"Narmada","45.7 (2017)"
"The Dangs","59.3 (2017)"
"Navsari","58.2 (2017)"
"Surat","63.9 (2017)"
"Tapi","64.5 (2017)"
"Vadodara","50.6 (2017)"
"Valsad","59.6 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
