"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Banas Kantha","62.7 (2017)"
"Gandhinagar","54.5 (2017)"
"Ahmadabad","57.4 (2017)"
"Amreli","54.5 (2017)"
"Bhavnagar","61.8 (2017)"
"Anand","42 (2017)"
"Dahod","65.1 (2017)"
"Bharuch","46 (2017)"
"Kachchh","55.3 (2017)"
"Patan","58.7 (2017)"
"Mahesana","60.3 (2017)"
"Sabar Kantha","56.7 (2017)"
"Surendranagar","47.9 (2017)"
"Rajkot","59.2 (2017)"
"Jamnagar","50.6 (2017)"
"Porbandar","55.1 (2017)"
"Junagadh","58.8 (2017)"
"Kheda","60.4 (2017)"
"Panch Mahals","65.7 (2017)"
"Narmada","46.2 (2017)"
"The Dangs","60.1 (2017)"
"Navsari","59.7 (2017)"
"Surat","64.3 (2017)"
"Tapi","63.5 (2017)"
"Vadodara","52.4 (2017)"
"Valsad","58.3 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
