"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Panchkula","49.8 (2017)"
"Ambala","50.3 (2017)"
"Kurukshetra","54.1 (2017)"
"Kaithal","52.3 (2017)"
"Karnal","45.9 (2017)"
"Panipat","47 (2017)"
"Sonipat","52.9 (2017)"
"Jind","46.5 (2017)"
"Fatehabad","50 (2017)"
"Sirsa","52.6 (2017)"
"Hisar","45.1 (2017)"
"Bhiwani","51.5 (2017)"
"Rohtak","53.7 (2017)"
"Jhajjar","62.7 (2017)"
"Mahendragarh","57.8 (2017)"
"Rewari","57.9 (2017)"
"Gurgaon","55.9 (2017)"
"Mewat","42.8 (2017)"
"Faridabad","59.1 (2017)"
"Palwal","51.2 (2017)"
"Yamunanagar","48.6 (2017)"
