"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Panchkula","46.5 (2017)"
"Ambala","48.5 (2017)"
"Kurukshetra","51.6 (2017)"
"Kaithal","51.4 (2017)"
"Karnal","44.4 (2017)"
"Panipat","46.9 (2017)"
"Sonipat","49.6 (2017)"
"Jind","40.1 (2017)"
"Fatehabad","49.3 (2017)"
"Sirsa","54.2 (2017)"
"Hisar","48 (2017)"
"Bhiwani","51.8 (2017)"
"Rohtak","51 (2017)"
"Jhajjar","65 (2017)"
"Mahendragarh","56.4 (2017)"
"Rewari","57.5 (2017)"
"Gurgaon","52.7 (2017)"
"Mewat","41.8 (2017)"
"Faridabad","59.6 (2017)"
"Palwal","52.8 (2017)"
"Yamunanagar","48.1 (2017)"
