"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Panchkula","48.1 (2017)"
"Ambala","49.4 (2017)"
"Kurukshetra","52.8 (2017)"
"Kaithal","51.9 (2017)"
"Karnal","45.1 (2017)"
"Panipat","46.9 (2017)"
"Sonipat","51.6 (2017)"
"Jind","43.3 (2017)"
"Fatehabad","49.7 (2017)"
"Sirsa","53.3 (2017)"
"Hisar","46.5 (2017)"
"Bhiwani","51.7 (2017)"
"Rohtak","52.5 (2017)"
"Jhajjar","63.8 (2017)"
"Mahendragarh","57.1 (2017)"
"Rewari","57.7 (2017)"
"Gurgaon","54.4 (2017)"
"Mewat","42.3 (2017)"
"Faridabad","59.3 (2017)"
"Palwal","51.9 (2017)"
"Yamunanagar","48.4 (2017)"
