"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Chatra","65.1 (2017)"
"Bokaro","62.1 (2017)"
"Garhwa","67.7 (2017)"
"Kodarma","58 (2017)"
"Giridih","60.2 (2017)"
"Deoghar","66.1 (2017)"
"Godda","67.8 (2017)"
"Pakur","65.5 (2017)"
"Dhanbad","68.4 (2017)"
"Lohardaga","61 (2017)"
"Palamu","63.7 (2017)"
"Latehar","61.1 (2017)"
"Hazaribagh","67.3 (2017)"
"Dumka","66.2 (2017)"
"Jamtara","57.1 (2017)"
"Khunti","65.9 (2017)"
"Gumla","63.8 (2017)"
"Sahibganj","56.3 (2017)"
"Purbi Singhbhum","58.2 (2017)"
"Ramgarh","69.8 (2017)"
"Ranchi","63.1 (2017)"
"Simdega","61.5 (2017)"
"Pashchimi Singhbhum","69.4 (2017)"
"Saraikela-kharsawan","63.1 (2017)"
