"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Chatra","62.1 (2017)"
"Bokaro","60.1 (2017)"
"Garhwa","64.7 (2017)"
"Kodarma","56.4 (2017)"
"Giridih","57.4 (2017)"
"Deoghar","64.2 (2017)"
"Godda","68.6 (2017)"
"Pakur","66.4 (2017)"
"Dhanbad","69.4 (2017)"
"Lohardaga","57.6 (2017)"
"Palamu","62.7 (2017)"
"Latehar","59.7 (2017)"
"Hazaribagh","65.6 (2017)"
"Dumka","65.9 (2017)"
"Jamtara","56.8 (2017)"
"Khunti","62.6 (2017)"
"Gumla","63.3 (2017)"
"Sahibganj","55.2 (2017)"
"Purbi Singhbhum","56.5 (2017)"
"Ramgarh","68.4 (2017)"
"Ranchi","63 (2017)"
"Simdega","59.8 (2017)"
"Pashchimi Singhbhum","65.9 (2017)"
"Saraikela-kharsawan","68.3 (2017)"
