"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Chatra","63.6 (2017)"
"Bokaro","61.2 (2017)"
"Garhwa","66.1 (2017)"
"Kodarma","57.3 (2017)"
"Giridih","58.9 (2017)"
"Deoghar","65.2 (2017)"
"Godda","68.2 (2017)"
"Pakur","65.9 (2017)"
"Dhanbad","68.9 (2017)"
"Lohardaga","59.3 (2017)"
"Palamu","63.2 (2017)"
"Latehar","60.4 (2017)"
"Hazaribagh","66.5 (2017)"
"Dumka","66.1 (2017)"
"Jamtara","56.9 (2017)"
"Khunti","64.2 (2017)"
"Gumla","63.5 (2017)"
"Sahibganj","55.8 (2017)"
"Purbi Singhbhum","57.4 (2017)"
"Ramgarh","69.2 (2017)"
"Ranchi","63.1 (2017)"
"Simdega","60.6 (2017)"
"Pashchimi Singhbhum","67.7 (2017)"
"Saraikela-kharsawan","65.6 (2017)"
