"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Badgam","64.9 (2017)"
"Baramula","64 (2017)"
"Bandipore","59.1 (2017)"
"Anantnag","56.2 (2017)"
"Doda","45.1 (2017)"
"Kupwara","59.1 (2017)"
"Leh(Ladakh)","36.4 (2017)"
"Kargil","50.1 (2017)"
"Punch","51.3 (2017)"
"Rajouri","49.5 (2017)"
"Kathua","47.9 (2017)"
"Srinagar","59.8 (2017)"
"Ganderbal","54.8 (2017)"
"Pulwama","62 (2017)"
"Shupiyan","64 (2017)"
"Kulgam","66.1 (2017)"
"Ramban","60.4 (2017)"
"Kishtwar","44.3 (2017)"
"Udhampur","46.8 (2017)"
"Reasi","50.4 (2017)"
"Jammu","51.6 (2017)"
"Samba","60 (2017)"
"Jammu & Kashmir - NA",""
