"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Badgam","63.6 (2017)"
"Baramula","63.9 (2017)"
"Bandipore","56.4 (2017)"
"Anantnag","56.6 (2017)"
"Doda","45.2 (2017)"
"Kupwara","58.6 (2017)"
"Leh(Ladakh)","38.9 (2017)"
"Kargil","48.9 (2017)"
"Punch","52.7 (2017)"
"Rajouri","49.6 (2017)"
"Kathua","48.2 (2017)"
"Srinagar","59.4 (2017)"
"Ganderbal","55 (2017)"
"Pulwama","60.8 (2017)"
"Shupiyan","63.3 (2017)"
"Kulgam","63 (2017)"
"Ramban","59.6 (2017)"
"Kishtwar","46.7 (2017)"
"Udhampur","47.5 (2017)"
"Reasi","48.5 (2017)"
"Jammu","49.7 (2017)"
"Samba","59.8 (2017)"
"Jammu & Kashmir - NA",""
