"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Belgaum","73.4 (2017)"
"Bagalkot","75.6 (2017)"
"Bangalore","65.3 (2017)"
"Bangalore Rural","69.2 (2017)"
"Bijapur","71.6 (2017)"
"Bidar","62.7 (2017)"
"Koppal","68.7 (2017)"
"Gadag","74.2 (2017)"
"Dharwad","66.3 (2017)"
"Haveri","70.4 (2017)"
"Bellary","71.4 (2017)"
"Chitradurga","71.9 (2017)"
"Davanagere","73.3 (2017)"
"Chikmagalur","59.2 (2017)"
"Mandya","65 (2017)"
"Hassan","73.9 (2017)"
"Dakshina Kannada","59.7 (2017)"
"Kodagu","61.5 (2017)"
"Mysore","58.5 (2017)"
"Chamarajanagar","64.3 (2017)"
"Gulbarga","60.2 (2017)"
"Kolar","64 (2017)"
"Chikkaballapura","62.9 (2017)"
"Raichur","71 (2017)"
"Uttara Kannada","72.8 (2017)"
"Shimoga","57.6 (2017)"
"Udupi","59.9 (2017)"
"Tumkur","72.4 (2017)"
"Yadgir","71.3 (2017)"
"Ramanagara","69.3 (2017)"
