"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Belgaum","73.5 (2017)"
"Bagalkot","72.5 (2017)"
"Bangalore","62 (2017)"
"Bangalore Rural","67.4 (2017)"
"Bijapur","73.3 (2017)"
"Bidar","60.4 (2017)"
"Koppal","67.6 (2017)"
"Gadag","69.7 (2017)"
"Dharwad","67.7 (2017)"
"Haveri","69.5 (2017)"
"Bellary","71 (2017)"
"Chitradurga","72.7 (2017)"
"Davanagere","73.5 (2017)"
"Chikmagalur","56.9 (2017)"
"Mandya","58.7 (2017)"
"Hassan","71.7 (2017)"
"Dakshina Kannada","61.1 (2017)"
"Kodagu","59.2 (2017)"
"Mysore","55.7 (2017)"
"Chamarajanagar","63 (2017)"
"Gulbarga","58.6 (2017)"
"Kolar","63.7 (2017)"
"Chikkaballapura","60.4 (2017)"
"Raichur","69.7 (2017)"
"Uttara Kannada","71.9 (2017)"
"Shimoga","55.8 (2017)"
"Udupi","56.5 (2017)"
"Tumkur","70.4 (2017)"
"Yadgir","71.7 (2017)"
"Ramanagara","69.8 (2017)"
