"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Belgaum","73.4 (2017)"
"Bagalkot","74.1 (2017)"
"Bangalore","63.7 (2017)"
"Bangalore Rural","68.3 (2017)"
"Bijapur","72.4 (2017)"
"Bidar","61.6 (2017)"
"Koppal","68.2 (2017)"
"Gadag","72.1 (2017)"
"Dharwad","66.9 (2017)"
"Haveri","69.9 (2017)"
"Bellary","71.2 (2017)"
"Chitradurga","72.3 (2017)"
"Davanagere","73.4 (2017)"
"Chikmagalur","58.1 (2017)"
"Mandya","62.1 (2017)"
"Hassan","72.9 (2017)"
"Dakshina Kannada","60.4 (2017)"
"Kodagu","60.4 (2017)"
"Mysore","57 (2017)"
"Chamarajanagar","63.7 (2017)"
"Gulbarga","59.4 (2017)"
"Kolar","63.9 (2017)"
"Chikkaballapura","61.7 (2017)"
"Raichur","70.3 (2017)"
"Uttara Kannada","72.3 (2017)"
"Shimoga","56.8 (2017)"
"Udupi","58.2 (2017)"
"Tumkur","71.4 (2017)"
"Yadgir","71.5 (2017)"
"Ramanagara","69.6 (2017)"
