"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Dhule","61.6 (2017)"
"Buldana","58.2 (2017)"
"Akola","57.5 (2017)"
"Amravati","53.2 (2017)"
"Bhandara","53.6 (2017)"
"Gondiya","47.2 (2017)"
"Garhchiroli","62.5 (2017)"
"Chandrapur","48.1 (2017)"
"Aurangabad","58.3 (2017)"
"Ahmadnagar","62.2 (2017)"
"Bid","63.1 (2017)"
"Nandurbar","59.1 (2017)"
"Jalgaon","56.9 (2017)"
"Nagpur","50.3 (2017)"
"Nanded","56 (2017)"
"Hingoli","65.3 (2017)"
"Parbhani","56.4 (2017)"
"Jalna","49.8 (2017)"
"Nashik","52.8 (2017)"
"Mumbai Suburban","46.7 (2017)"
"Mumbai City","48.7 (2017)"
"Raigarh","57.3 (2017)"
"Pune","53.4 (2017)"
"Latur","55.1 (2017)"
"Osmanabad","61 (2017)"
"Kolhapur","59.9 (2017)"
"Solapur","56.9 (2017)"
"Satara","60.7 (2017)"
"Ratnagiri","68.6 (2017)"
"Sindhudurg","65.3 (2017)"
"Sangli","55.4 (2017)"
"Washim","59.1 (2017)"
"Wardha","45.9 (2017)"
"Yavatmal","45.9 (2017)"
"Thane","52.1 (2017)"
