"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Dhule","60.8 (2017)"
"Buldana","55.4 (2017)"
"Akola","53.6 (2017)"
"Amravati","48.8 (2017)"
"Bhandara","53.3 (2017)"
"Gondiya","44.1 (2017)"
"Garhchiroli","63.4 (2017)"
"Chandrapur","43.7 (2017)"
"Aurangabad","54.9 (2017)"
"Ahmadnagar","57.4 (2017)"
"Bid","58.1 (2017)"
"Nandurbar","60.8 (2017)"
"Jalgaon","54.8 (2017)"
"Nagpur","51.4 (2017)"
"Nanded","54.2 (2017)"
"Hingoli","62.1 (2017)"
"Parbhani","56.2 (2017)"
"Jalna","48.8 (2017)"
"Nashik","53.9 (2017)"
"Mumbai Suburban","45.2 (2017)"
"Mumbai City","45.3 (2017)"
"Raigarh","53 (2017)"
"Pune","53.1 (2017)"
"Latur","53.8 (2017)"
"Osmanabad","57.8 (2017)"
"Kolhapur","56.1 (2017)"
"Solapur","56.1 (2017)"
"Satara","60 (2017)"
"Ratnagiri","68.4 (2017)"
"Sindhudurg","64.9 (2017)"
"Sangli","53.9 (2017)"
"Washim","60.4 (2017)"
"Wardha","43.8 (2017)"
"Yavatmal","45.8 (2017)"
"Thane","52.7 (2017)"
