"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Dhule","61.2 (2017)"
"Buldana","56.7 (2017)"
"Akola","55.5 (2017)"
"Amravati","50.8 (2017)"
"Bhandara","53.4 (2017)"
"Gondiya","45.7 (2017)"
"Garhchiroli","62.9 (2017)"
"Chandrapur","45.9 (2017)"
"Aurangabad","56.5 (2017)"
"Ahmadnagar","59.5 (2017)"
"Bid","60.6 (2017)"
"Nandurbar","60 (2017)"
"Jalgaon","55.8 (2017)"
"Nagpur","50.8 (2017)"
"Nanded","55.1 (2017)"
"Hingoli","63.7 (2017)"
"Parbhani","56.3 (2017)"
"Jalna","49.3 (2017)"
"Nashik","53.3 (2017)"
"Mumbai Suburban","46 (2017)"
"Mumbai City","47.3 (2017)"
"Raigarh","55.2 (2017)"
"Pune","53.2 (2017)"
"Latur","54.4 (2017)"
"Osmanabad","59.5 (2017)"
"Kolhapur","57.7 (2017)"
"Solapur","56.5 (2017)"
"Satara","60.3 (2017)"
"Ratnagiri","68.5 (2017)"
"Sindhudurg","65.1 (2017)"
"Sangli","54.6 (2017)"
"Washim","59.7 (2017)"
"Wardha","44.8 (2017)"
"Yavatmal","45.8 (2017)"
"Thane","52.3 (2017)"
