"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Bhind","55.4 (2017)"
"Datia","54.6 (2017)"
"Chhatarpur","58.3 (2017)"
"Damoh","59 (2017)"
"Dewas","62 (2017)"
"Dhar","48.4 (2017)"
"Barwani","54.4 (2017)"
"Bhopal","58.6 (2017)"
"Betul","54.6 (2017)"
"Dindori","51.1 (2017)"
"Chhindwara","54.8 (2017)"
"Balaghat","56 (2017)"
"Ashoknagar","53.6 (2017)"
"Anuppur","53.8 (2017)"
"Alirajpur","48.8 (2017)"
"Burhanpur","64.8 (2017)"
"Morena","55.6 (2017)"
"Gwalior","57 (2017)"
"Panna","40.4 (2017)"
"Sagar","64.2 (2017)"
"Satna","46.4 (2017)"
"Rewa","53.7 (2017)"
"Neemuch","52.6 (2017)"
"Mandsaur","51.8 (2017)"
"Ratlam","50.2 (2017)"
"Shajapur","61.5 (2017)"
"Indore","62.2 (2017)"
"Rajgarh","55.9 (2017)"
"Sehore","58.1 (2017)"
"Raisen","54.6 (2017)"
"Harda","55.6 (2017)"
"Hoshangabad","61.3 (2017)"
"Katni","46.1 (2017)"
"Jabalpur","52.7 (2017)"
"Narsimhapur","67.9 (2017)"
"Mandla","54.1 (2017)"
"Seoni","59.7 (2017)"
"Guna","57.5 (2017)"
"Shahdol","65.7 (2017)"
"Jhabua","50.7 (2017)"
"East Nimar","59.4 (2017)"
"Sheopur","52.5 (2017)"
"Shivpuri","60.9 (2017)"
"Tikamgarh","0 (2017)"
"Umaria","48.1 (2017)"
"Ujjain","45.7 (2017)"
"West Nimar","53 (2017)"
"Vidisha","55.1 (2017)"
"Sidhi","52.7 (2017)"
"Singrauli","50.5 (2017)"
