"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Bhind","55.8 (2017)"
"Datia","50.2 (2017)"
"Chhatarpur","59.2 (2017)"
"Damoh","59.3 (2017)"
"Dewas","60.1 (2017)"
"Dhar","47.7 (2017)"
"Barwani","57.1 (2017)"
"Bhopal","55.1 (2017)"
"Betul","51.3 (2017)"
"Dindori","53.7 (2017)"
"Chhindwara","55.9 (2017)"
"Balaghat","54.3 (2017)"
"Ashoknagar","53.1 (2017)"
"Anuppur","50.3 (2017)"
"Alirajpur","43.8 (2017)"
"Burhanpur","59.5 (2017)"
"Morena","54.4 (2017)"
"Gwalior","57.6 (2017)"
"Panna","40.9 (2017)"
"Sagar","62.9 (2017)"
"Satna","44.7 (2017)"
"Rewa","51.6 (2017)"
"Neemuch","54.5 (2017)"
"Mandsaur","51 (2017)"
"Ratlam","48.7 (2017)"
"Shajapur","60.4 (2017)"
"Indore","64.3 (2017)"
"Rajgarh","63.3 (2017)"
"Sehore","54.5 (2017)"
"Raisen","53.8 (2017)"
"Harda","55.7 (2017)"
"Hoshangabad","63.1 (2017)"
"Katni","49.8 (2017)"
"Jabalpur","53.5 (2017)"
"Narsimhapur","66 (2017)"
"Mandla","53 (2017)"
"Seoni","52.8 (2017)"
"Guna","54.6 (2017)"
"Shahdol","58.9 (2017)"
"Jhabua","47.2 (2017)"
"East Nimar","58.1 (2017)"
"Sheopur","48.1 (2017)"
"Shivpuri","62 (2017)"
"Tikamgarh","60.8 (2017)"
"Umaria","47.7 (2017)"
"Ujjain","49 (2017)"
"West Nimar","51 (2017)"
"Vidisha","55.3 (2017)"
"Sidhi","53.5 (2017)"
"Singrauli","47.8 (2017)"
