"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Bhind","55.6 (2017)"
"Datia","52.3 (2017)"
"Chhatarpur","58.8 (2017)"
"Damoh","59.2 (2017)"
"Dewas","61.2 (2017)"
"Dhar","48.2 (2017)"
"Barwani","55.8 (2017)"
"Bhopal","57.1 (2017)"
"Betul","53.1 (2017)"
"Dindori","52.5 (2017)"
"Chhindwara","55.3 (2017)"
"Balaghat","55.2 (2017)"
"Ashoknagar","53.3 (2017)"
"Anuppur","52.1 (2017)"
"Alirajpur","46.2 (2017)"
"Burhanpur","62 (2017)"
"Morena","55 (2017)"
"Gwalior","57.3 (2017)"
"Panna","40.7 (2017)"
"Sagar","63.5 (2017)"
"Satna","45.5 (2017)"
"Rewa","52.7 (2017)"
"Neemuch","53.4 (2017)"
"Mandsaur","51.5 (2017)"
"Ratlam","49.5 (2017)"
"Shajapur","61 (2017)"
"Indore","63.2 (2017)"
"Rajgarh","59.2 (2017)"
"Sehore","56.5 (2017)"
"Raisen","54.2 (2017)"
"Harda","55.6 (2017)"
"Hoshangabad","62.1 (2017)"
"Katni","47.9 (2017)"
"Jabalpur","53 (2017)"
"Narsimhapur","67 (2017)"
"Mandla","53.6 (2017)"
"Seoni","56.5 (2017)"
"Guna","56 (2017)"
"Shahdol","62.7 (2017)"
"Jhabua","49 (2017)"
"East Nimar","58.8 (2017)"
"Sheopur","50.1 (2017)"
"Shivpuri","61.4 (2017)"
"Tikamgarh","60.8 (2017)"
"Umaria","47.9 (2017)"
"Ujjain","47.2 (2017)"
"West Nimar","52.1 (2017)"
"Vidisha","55.2 (2017)"
"Sidhi","53.1 (2017)"
"Singrauli","49.2 (2017)"
