"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Bargarh","56 (2017)"
"Baleshwar","60.1 (2017)"
"Bhadrak","61.5 (2017)"
"Cuttack","68.8 (2017)"
"Anugul","62.1 (2017)"
"Baudh","53 (2017)"
"Balangir","56.9 (2017)"
"Jharsuguda","51.1 (2017)"
"Debagarh","53.8 (2017)"
"Kendujhar","53 (2017)"
"Kendrapara","53.8 (2017)"
"Jagatsinghapur","76.9 (2017)"
"Jajapur","59.6 (2017)"
"Dhenkanal","50.6 (2017)"
"Khordha","57 (2017)"
"Ganjam","66.8 (2017)"
"Gajapati","48.6 (2017)"
"Kandhamal","45.8 (2017)"
"Kalahandi","50.8 (2017)"
"Koraput","42 (2017)"
"Sambalpur","38.3 (2017)"
"Sundargarh","50.6 (2017)"
"Mayurbhanj","47.1 (2017)"
"Nayagarh","62.4 (2017)"
"Puri","61.8 (2017)"
"Subarnapur","52 (2017)"
"Nuapada","52.1 (2017)"
"Rayagada","41.9 (2017)"
"Nabarangapur","63.4 (2017)"
"Malkangiri","53.2 (2017)"
