"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Bargarh","56.8 (2017)"
"Baleshwar","63.7 (2017)"
"Bhadrak","60.3 (2017)"
"Cuttack","68.3 (2017)"
"Anugul","59.6 (2017)"
"Baudh","51.3 (2017)"
"Balangir","59.5 (2017)"
"Jharsuguda","49.5 (2017)"
"Debagarh","54.5 (2017)"
"Kendujhar","50.8 (2017)"
"Kendrapara","50.2 (2017)"
"Jagatsinghapur","78.5 (2017)"
"Jajapur","55.4 (2017)"
"Dhenkanal","46.2 (2017)"
"Khordha","54.7 (2017)"
"Ganjam","63.5 (2017)"
"Gajapati","53.2 (2017)"
"Kandhamal","44.5 (2017)"
"Kalahandi","49.9 (2017)"
"Koraput","47 (2017)"
"Sambalpur","38.7 (2017)"
"Sundargarh","50.8 (2017)"
"Mayurbhanj","46 (2017)"
"Nayagarh","61.1 (2017)"
"Puri","61.1 (2017)"
"Subarnapur","50.7 (2017)"
"Nuapada","50.5 (2017)"
"Rayagada","44.2 (2017)"
"Nabarangapur","63.2 (2017)"
"Malkangiri","52.4 (2017)"
