"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Bargarh","56.3 (2017)"
"Baleshwar","61.8 (2017)"
"Bhadrak","60.9 (2017)"
"Cuttack","68.6 (2017)"
"Anugul","60.7 (2017)"
"Baudh","52.2 (2017)"
"Balangir","58.2 (2017)"
"Jharsuguda","50.4 (2017)"
"Debagarh","54.1 (2017)"
"Kendujhar","51.9 (2017)"
"Kendrapara","52 (2017)"
"Jagatsinghapur","77.7 (2017)"
"Jajapur","57.5 (2017)"
"Dhenkanal","48.3 (2017)"
"Khordha","55.8 (2017)"
"Ganjam","65.2 (2017)"
"Gajapati","50.8 (2017)"
"Kandhamal","45.2 (2017)"
"Kalahandi","50.3 (2017)"
"Koraput","44.4 (2017)"
"Sambalpur","38.5 (2017)"
"Sundargarh","50.7 (2017)"
"Mayurbhanj","46.6 (2017)"
"Nayagarh","61.7 (2017)"
"Puri","61.5 (2017)"
"Subarnapur","51.4 (2017)"
"Nuapada","51.4 (2017)"
"Rayagada","43.3 (2017)"
"Nabarangapur","63.3 (2017)"
"Malkangiri","52.8 (2017)"
