"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Faridkot","51.1 (2017)"
"Bathinda","37.7 (2017)"
"Amritsar","50 (2017)"
"Barnala","40.9 (2017)"
"Gurdaspur","62.8 (2017)"
"Kapurthala","51.6 (2017)"
"Jalandhar","49.7 (2017)"
"Hoshiarpur","50.9 (2017)"
"Shahid Bhagat Singh Nagar","51.4 (2017)"
"Fatehgarh Sahib","43.7 (2017)"
"Ludhiana","42 (2017)"
"Moga","56 (2017)"
"Firozpur","61.1 (2017)"
"Muktsar","40.5 (2017)"
"Mansa","44.4 (2017)"
"Patiala","41.9 (2017)"
"Tarn Taran","48.3 (2017)"
"Rupnagar","44.8 (2017)"
"Sahibzada Ajit Singh Nagar","47.2 (2017)"
"Sangrur","55.9 (2017)"
