"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Faridkot","51.3 (2017)"
"Bathinda","36.1 (2017)"
"Amritsar","51.4 (2017)"
"Barnala","38.4 (2017)"
"Gurdaspur","59.3 (2017)"
"Kapurthala","51.8 (2017)"
"Jalandhar","50 (2017)"
"Hoshiarpur","51.4 (2017)"
"Shahid Bhagat Singh Nagar","53.6 (2017)"
"Fatehgarh Sahib","41 (2017)"
"Ludhiana","42.4 (2017)"
"Moga","53.2 (2017)"
"Firozpur","57.6 (2017)"
"Muktsar","39.8 (2017)"
"Mansa","43.3 (2017)"
"Patiala","40.6 (2017)"
"Tarn Taran","47.7 (2017)"
"Rupnagar","44.7 (2017)"
"Sahibzada Ajit Singh Nagar","44.4 (2017)"
"Sangrur","52.8 (2017)"
