"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Faridkot","51.2 (2017)"
"Bathinda","36.9 (2017)"
"Amritsar","50.7 (2017)"
"Barnala","39.7 (2017)"
"Gurdaspur","61.1 (2017)"
"Kapurthala","51.7 (2017)"
"Jalandhar","49.8 (2017)"
"Hoshiarpur","51.2 (2017)"
"Shahid Bhagat Singh Nagar","52.5 (2017)"
"Fatehgarh Sahib","42.2 (2017)"
"Ludhiana","42.2 (2017)"
"Moga","54.8 (2017)"
"Firozpur","59.3 (2017)"
"Muktsar","40.2 (2017)"
"Mansa","43.8 (2017)"
"Patiala","41.2 (2017)"
"Tarn Taran","48 (2017)"
"Rupnagar","44.7 (2017)"
"Sahibzada Ajit Singh Nagar","45.8 (2017)"
"Sangrur","54.4 (2017)"
