"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Ajmer","68.7 (2017)"
"Ganganagar","66.4 (2017)"
"Hanumangarh","68 (2017)"
"Bikaner","66.5 (2017)"
"Churu","76.3 (2017)"
"Alwar","69.4 (2017)"
"Bharatpur","74.8 (2017)"
"Dhaulpur","76.6 (2017)"
"Dausa","76.3 (2017)"
"Jaipur","73.8 (2017)"
"Barmer","75.1 (2017)"
"Bundi","68.1 (2017)"
"Bhilwara","62 (2017)"
"Dungarpur","67.6 (2017)"
"Banswara","59.9 (2017)"
"Chittaurgarh","65.1 (2017)"
"Baran","70.6 (2017)"
"Jhunjhunun","78 (2017)"
"Karauli","65.2 (2017)"
"Sawai Madhopur","68.8 (2017)"
"Sikar","67.6 (2017)"
"Nagaur","78.5 (2017)"
"Jodhpur","74.8 (2017)"
"Jaisalmer","72.7 (2017)"
"Jalor","70.6 (2017)"
"Sirohi","64.6 (2017)"
"Pali","62.7 (2017)"
"Tonk","68.5 (2017)"
"Rajsamand","69.5 (2017)"
"Kota","65.2 (2017)"
"Jhalawar","72.8 (2017)"
"Pratapgarh","62.5 (2017)"
"Udaipur","66.1 (2017)"
