"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Ajmer","69.8 (2017)"
"Ganganagar","66.2 (2017)"
"Hanumangarh","63.7 (2017)"
"Bikaner","67.2 (2017)"
"Churu","73.4 (2017)"
"Alwar","66.4 (2017)"
"Bharatpur","75.1 (2017)"
"Dhaulpur","78.5 (2017)"
"Dausa","77.5 (2017)"
"Jaipur","72.9 (2017)"
"Barmer","75.2 (2017)"
"Bundi","69 (2017)"
"Bhilwara","62.3 (2017)"
"Dungarpur","65.9 (2017)"
"Banswara","62.5 (2017)"
"Chittaurgarh","66 (2017)"
"Baran","70.5 (2017)"
"Jhunjhunun","77.9 (2017)"
"Karauli","64.6 (2017)"
"Sawai Madhopur","69.3 (2017)"
"Sikar","67.9 (2017)"
"Nagaur","79.1 (2017)"
"Jodhpur","71.8 (2017)"
"Jaisalmer","72.2 (2017)"
"Jalor","72.7 (2017)"
"Sirohi","63 (2017)"
"Pali","62.1 (2017)"
"Tonk","67.9 (2017)"
"Rajsamand","69.6 (2017)"
"Kota","67.2 (2017)"
"Jhalawar","73.1 (2017)"
"Pratapgarh","58.7 (2017)"
"Udaipur","65.4 (2017)"
