"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Ajmer","69.2 (2017)"
"Ganganagar","66.3 (2017)"
"Hanumangarh","66 (2017)"
"Bikaner","66.8 (2017)"
"Churu","74.9 (2017)"
"Alwar","68 (2017)"
"Bharatpur","74.9 (2017)"
"Dhaulpur","77.6 (2017)"
"Dausa","76.8 (2017)"
"Jaipur","73.4 (2017)"
"Barmer","75.2 (2017)"
"Bundi","68.5 (2017)"
"Bhilwara","62.2 (2017)"
"Dungarpur","66.7 (2017)"
"Banswara","61.3 (2017)"
"Chittaurgarh","65.6 (2017)"
"Baran","70.5 (2017)"
"Jhunjhunun","77.9 (2017)"
"Karauli","64.9 (2017)"
"Sawai Madhopur","69 (2017)"
"Sikar","67.7 (2017)"
"Nagaur","78.7 (2017)"
"Jodhpur","73.3 (2017)"
"Jaisalmer","72.4 (2017)"
"Jalor","71.6 (2017)"
"Sirohi","63.8 (2017)"
"Pali","62.5 (2017)"
"Tonk","68.3 (2017)"
"Rajsamand","69.6 (2017)"
"Kota","66.2 (2017)"
"Jhalawar","72.9 (2017)"
"Pratapgarh","60.5 (2017)"
"Udaipur","65.7 (2017)"
