"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Chennai","46.7 (2017)"
"Kancheepuram","57.5 (2017)"
"Erode","56.5 (2017)"
"Dindigul","55.6 (2017)"
"Cuddalore","44.9 (2017)"
"Kanniyakumari","54.6 (2017)"
"Dharmapuri","60.2 (2017)"
"Coimbatore","50.8 (2017)"
"Thiruvallur","54.8 (2017)"
"Salem","54.9 (2017)"
"Namakkal","48.7 (2017)"
"The Nilgiris","50.6 (2017)"
"Karur","52.6 (2017)"
"Perambalur","60.6 (2017)"
"Nagappattinam","50.1 (2017)"
"Thiruvarur","48.5 (2017)"
"Thanjavur","51.6 (2017)"
"Pudukkottai","51.9 (2017)"
"Sivaganga","56 (2017)"
"Madurai","46.5 (2017)"
"Theni","46.4 (2017)"
"Ramanathapuram","56.2 (2017)"
"Vellore","53.2 (2017)"
"Tiruvannamalai","50.8 (2017)"
"Viluppuram","59.4 (2017)"
"Tiruchirappalli","45 (2017)"
"Virudunagar","47.2 (2017)"
"Thoothukkudi","52.2 (2017)"
"Tirunelveli","53.9 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
