"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Chennai","45.8 (2017)"
"Kancheepuram","57.3 (2017)"
"Erode","58.4 (2017)"
"Dindigul","54.4 (2017)"
"Cuddalore","47 (2017)"
"Kanniyakumari","51.3 (2017)"
"Dharmapuri","60.1 (2017)"
"Coimbatore","48.1 (2017)"
"Thiruvallur","53.6 (2017)"
"Salem","52.1 (2017)"
"Namakkal","48.6 (2017)"
"The Nilgiris","49.4 (2017)"
"Karur","52.7 (2017)"
"Perambalur","61.5 (2017)"
"Nagappattinam","50.1 (2017)"
"Thiruvarur","52.3 (2017)"
"Thanjavur","51.1 (2017)"
"Pudukkottai","52.9 (2017)"
"Sivaganga","54.5 (2017)"
"Madurai","46.5 (2017)"
"Theni","46.2 (2017)"
"Ramanathapuram","56.8 (2017)"
"Vellore","56.1 (2017)"
"Tiruvannamalai","51 (2017)"
"Viluppuram","57.4 (2017)"
"Tiruchirappalli","43.5 (2017)"
"Virudunagar","47 (2017)"
"Thoothukkudi","51.2 (2017)"
"Tirunelveli","51.9 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
