"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Chennai","46.3 (2017)"
"Kancheepuram","57.4 (2017)"
"Erode","57.4 (2017)"
"Dindigul","55 (2017)"
"Cuddalore","45.9 (2017)"
"Kanniyakumari","53 (2017)"
"Dharmapuri","60.2 (2017)"
"Coimbatore","49.6 (2017)"
"Thiruvallur","54.2 (2017)"
"Salem","53.5 (2017)"
"Namakkal","48.7 (2017)"
"The Nilgiris","50 (2017)"
"Karur","52.7 (2017)"
"Perambalur","61 (2017)"
"Nagappattinam","50.1 (2017)"
"Thiruvarur","50.5 (2017)"
"Thanjavur","51.3 (2017)"
"Pudukkottai","52.4 (2017)"
"Sivaganga","55.2 (2017)"
"Madurai","46.5 (2017)"
"Theni","46.3 (2017)"
"Ramanathapuram","56.5 (2017)"
"Vellore","54.7 (2017)"
"Tiruvannamalai","50.9 (2017)"
"Viluppuram","58.5 (2017)"
"Tiruchirappalli","44.2 (2017)"
"Virudunagar","47.1 (2017)"
"Thoothukkudi","51.8 (2017)"
"Tirunelveli","52.9 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
