"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Aligarh","62 (2017)"
"Agra","58.4 (2017)"
"Allahabad","53.5 (2017)"
"Ambedkar Nagar","71.7 (2017)"
"Bijnor","63.4 (2017)"
"Amroha","66 (2017)"
"Baghpat","63.1 (2017)"
"Budaun","46.7 (2017)"
"Bareilly","61.1 (2017)"
"Auraiya","57.5 (2017)"
"Banda","40 (2017)"
"Bara banki","69.1 (2017)"
"Bahraich","55.6 (2017)"
"Balrampur","49 (2017)"
"Basti","40.8 (2017)"
"Azamgarh","65.4 (2017)"
"Ballia","51.1 (2017)"
"Ghaziabad","59.1 (2017)"
"Gautam Buddha Nagar","63.2 (2017)"
"Bulandshahr","49.1 (2017)"
"Firozabad","55.7 (2017)"
"Farrukhabad","53 (2017)"
"Etawah","62.8 (2017)"
"Chitrakoot","60.4 (2017)"
"Fatehpur","20.2 (2017)"
"Faizabad","47.8 (2017)"
"Deoria","54.7 (2017)"
"Ghazipur","55.2 (2017)"
"Chandauli","55.8 (2017)"
"Etah","62.3 (2017)"
"Hathras","48.1 (2017)"
"Hardoi","50.7 (2017)"
"Kannauj","45.3 (2017)"
"Kanpur Dehat","51.1 (2017)"
"Kanpur Nagar","57.6 (2017)"
"Jalaun","58.4 (2017)"
"Jhansi","54.3 (2017)"
"Hamirpur","50.6 (2017)"
"Gonda","58.5 (2017)"
"Gorakhpur","50.9 (2017)"
"Jaunpur","61.4 (2017)"
"Kasganj","52.7 (2017)"
"Muzaffarnagar","42.1 (2017)"
"Moradabad","63.6 (2017)"
"Meerut","64.6 (2017)"
"Mathura","50.9 (2017)"
"Mainpuri","32.7 (2017)"
"Kheri","28 (2017)"
"Lucknow","39 (2017)"
"Lalitpur","54.9 (2017)"
"Mahoba","48.7 (2017)"
"Kaushambi","16.6 (2017)"
"Mahrajganj","41.3 (2017)"
"Kushinagar","53 (2017)"
"Mau","30.1 (2017)"
"Mirzapur","54.6 (2017)"
"Saharanpur","43 (2017)"
"Rampur","49.5 (2017)"
"Pilibhit","46.2 (2017)"
"Shahjahanpur","54.9 (2017)"
"Sitapur","56.9 (2017)"
"Rae Bareli","46.9 (2017)"
"Pratapgarh","55.3 (2017)"
"Sultanpur","43.5 (2017)"
"Shrawasti","36.9 (2017)"
"Siddharth Nagar","56 (2017)"
"Sant Kabir Nagar","57.1 (2017)"
"Sant Ravidas Nagar (Bhadohi)","59.6 (2017)"
"Sonbhadra","41.1 (2017)"
"Unnao","55.2 (2017)"
"Varanasi","26.9 (2017)"
