"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Aligarh","63.1 (2017)"
"Agra","60.5 (2017)"
"Allahabad","55.9 (2017)"
"Ambedkar Nagar","73.1 (2017)"
"Bijnor","63.5 (2017)"
"Amroha","63 (2017)"
"Baghpat","62.2 (2017)"
"Budaun","45.4 (2017)"
"Bareilly","58.4 (2017)"
"Auraiya","60.7 (2017)"
"Banda","40.2 (2017)"
"Bara banki","69.2 (2017)"
"Bahraich","55.6 (2017)"
"Balrampur","51.1 (2017)"
"Basti","42.1 (2017)"
"Azamgarh","66.6 (2017)"
"Ballia","52 (2017)"
"Ghaziabad","59.6 (2017)"
"Gautam Buddha Nagar","63.4 (2017)"
"Bulandshahr","49.1 (2017)"
"Firozabad","55.4 (2017)"
"Farrukhabad","52.2 (2017)"
"Etawah","64.9 (2017)"
"Chitrakoot","61.7 (2017)"
"Fatehpur","21 (2017)"
"Faizabad","47.7 (2017)"
"Deoria","54.7 (2017)"
"Ghazipur","55 (2017)"
"Chandauli","57.6 (2017)"
"Etah","35.5 (2017)"
"Hathras","47.9 (2017)"
"Hardoi","45.9 (2017)"
"Kannauj","43.5 (2017)"
"Kanpur Dehat","48.3 (2017)"
"Kanpur Nagar","53.9 (2017)"
"Jalaun","58.4 (2017)"
"Jhansi","54.9 (2017)"
"Hamirpur","52.9 (2017)"
"Gonda","60 (2017)"
"Gorakhpur","51.6 (2017)"
"Jaunpur","61.4 (2017)"
"Kasganj","52.5 (2017)"
"Muzaffarnagar","41.4 (2017)"
"Moradabad","59.5 (2017)"
"Meerut","62.8 (2017)"
"Mathura","51.1 (2017)"
"Mainpuri","32 (2017)"
"Kheri","27.6 (2017)"
"Lucknow","40.4 (2017)"
"Lalitpur","54.3 (2017)"
"Mahoba","51.4 (2017)"
"Kaushambi","15 (2017)"
"Mahrajganj","41.3 (2017)"
"Kushinagar","54.8 (2017)"
"Mau","29.4 (2017)"
"Mirzapur","56 (2017)"
"Saharanpur","41.9 (2017)"
"Rampur","52.4 (2017)"
"Pilibhit","50.1 (2017)"
"Shahjahanpur","57.7 (2017)"
"Sitapur","57.9 (2017)"
"Rae Bareli","47.9 (2017)"
"Pratapgarh","56.8 (2017)"
"Sultanpur","42.6 (2017)"
"Shrawasti","39.4 (2017)"
"Siddharth Nagar","57.2 (2017)"
"Sant Kabir Nagar","54.8 (2017)"
"Sant Ravidas Nagar (Bhadohi)","59.1 (2017)"
"Sonbhadra","39.9 (2017)"
"Unnao","47.1 (2017)"
"Varanasi","26.3 (2017)"
