"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Aligarh","62.5 (2017)"
"Agra","59.3 (2017)"
"Allahabad","54.6 (2017)"
"Ambedkar Nagar","72.3 (2017)"
"Bijnor","63.5 (2017)"
"Amroha","64.7 (2017)"
"Baghpat","62.6 (2017)"
"Budaun","46.2 (2017)"
"Bareilly","59.7 (2017)"
"Auraiya","59 (2017)"
"Banda","40.1 (2017)"
"Bara banki","69.1 (2017)"
"Bahraich","55.6 (2017)"
"Balrampur","50.1 (2017)"
"Basti","41.4 (2017)"
"Azamgarh","65.9 (2017)"
"Ballia","51.5 (2017)"
"Ghaziabad","59.3 (2017)"
"Gautam Buddha Nagar","63.3 (2017)"
"Bulandshahr","49.1 (2017)"
"Firozabad","55.6 (2017)"
"Farrukhabad","52.6 (2017)"
"Etawah","63.8 (2017)"
"Chitrakoot","61.1 (2017)"
"Fatehpur","20.8 (2017)"
"Faizabad","47.8 (2017)"
"Deoria","54.7 (2017)"
"Ghazipur","55.1 (2017)"
"Chandauli","56.6 (2017)"
"Etah","43.5 (2017)"
"Hathras","48 (2017)"
"Hardoi","48.4 (2017)"
"Kannauj","44.6 (2017)"
"Kanpur Dehat","49.1 (2017)"
"Kanpur Nagar","55.9 (2017)"
"Jalaun","58.4 (2017)"
"Jhansi","54.6 (2017)"
"Hamirpur","51.8 (2017)"
"Gonda","59.2 (2017)"
"Gorakhpur","51.2 (2017)"
"Jaunpur","61.4 (2017)"
"Kasganj","52.6 (2017)"
"Muzaffarnagar","41.5 (2017)"
"Moradabad","59.7 (2017)"
"Meerut","63.7 (2017)"
"Mathura","51 (2017)"
"Mainpuri","32.4 (2017)"
"Kheri","27.8 (2017)"
"Lucknow","39.7 (2017)"
"Lalitpur","54.6 (2017)"
"Mahoba","50 (2017)"
"Kaushambi","15.8 (2017)"
"Mahrajganj","41.3 (2017)"
"Kushinagar","53.7 (2017)"
"Mau","29.8 (2017)"
"Mirzapur","55.3 (2017)"
"Saharanpur","42.5 (2017)"
"Rampur","51.7 (2017)"
"Pilibhit","48 (2017)"
"Shahjahanpur","56.2 (2017)"
"Sitapur","57.4 (2017)"
"Rae Bareli","47.4 (2017)"
"Pratapgarh","56 (2017)"
"Sultanpur","43 (2017)"
"Shrawasti","38.1 (2017)"
"Siddharth Nagar","56.6 (2017)"
"Sant Kabir Nagar","56 (2017)"
"Sant Ravidas Nagar (Bhadohi)","59.3 (2017)"
"Sonbhadra","40.5 (2017)"
"Unnao","51 (2017)"
"Varanasi","26.6 (2017)"
