"","Average Performance of Students in EVS in Class 5, Percent (Female)"
"Bankura","55.3 (2017)"
"Jalpaiguri","34.6 (2017)"
"Koch Bihar","56.9 (2017)"
"Dakshin Dinajpur","45.4 (2017)"
"Birbhum","46.7 (2017)"
"Hugli","58.3 (2017)"
"Haora","55 (2017)"
"Maldah","58.8 (2017)"
"Murshidabad","53.4 (2017)"
"Nadia","51.9 (2017)"
"North Twenty Four Parganas","51.8 (2017)"
"Kolkata","63.5 (2017)"
"Paschim Medinipur","54.8 (2017)"
"Purba Medinipur","58.5 (2017)"
"Uttar Dinajpur","49.4 (2017)"
"Puruliya","50.8 (2017)"
"South Twenty Four Parganas","57.4 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
