"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Bankura","58 (2017)"
"Jalpaiguri","33.8 (2017)"
"Koch Bihar","57.1 (2017)"
"Dakshin Dinajpur","50.7 (2017)"
"Birbhum","47.9 (2017)"
"Hugli","58 (2017)"
"Haora","55.7 (2017)"
"Maldah","52.8 (2017)"
"Murshidabad","54.9 (2017)"
"Nadia","48.8 (2017)"
"North Twenty Four Parganas","54.1 (2017)"
"Kolkata","61.9 (2017)"
"Paschim Medinipur","58.1 (2017)"
"Purba Medinipur","59.4 (2017)"
"Uttar Dinajpur","51.8 (2017)"
"Puruliya","51.2 (2017)"
"South Twenty Four Parganas","60.1 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
