"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Bankura","56.8 (2017)"
"Jalpaiguri","34.2 (2017)"
"Koch Bihar","57 (2017)"
"Dakshin Dinajpur","47.8 (2017)"
"Birbhum","47.3 (2017)"
"Hugli","58.1 (2017)"
"Haora","55.4 (2017)"
"Maldah","56 (2017)"
"Murshidabad","54.1 (2017)"
"Nadia","50.4 (2017)"
"North Twenty Four Parganas","53 (2017)"
"Kolkata","62.7 (2017)"
"Paschim Medinipur","56.4 (2017)"
"Purba Medinipur","59 (2017)"
"Uttar Dinajpur","50.3 (2017)"
"Puruliya","51 (2017)"
"South Twenty Four Parganas","58.8 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
