"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Bhind","55.5 (2017)"
"Datia","55.5 (2017)"
"Chhatarpur","58.8 (2017)"
"Damoh","59.6 (2017)"
"Dewas","64.3 (2017)"
"Dhar","50.6 (2017)"
"Barwani","58 (2017)"
"Bhopal","60 (2017)"
"Betul","54.6 (2017)"
"Dindori","50.3 (2017)"
"Chhindwara","53.7 (2017)"
"Balaghat","58.1 (2017)"
"Ashoknagar","54 (2017)"
"Anuppur","53.9 (2017)"
"Alirajpur","53.5 (2017)"
"Burhanpur","66.6 (2017)"
"Morena","54.7 (2017)"
"Gwalior","59.2 (2017)"
"Panna","42.3 (2017)"
"Sagar","62.8 (2017)"
"Satna","50.7 (2017)"
"Rewa","52.3 (2017)"
"Neemuch","56.5 (2017)"
"Mandsaur","50.7 (2017)"
"Ratlam","51.7 (2017)"
"Shajapur","65.3 (2017)"
"Indore","60.3 (2017)"
"Rajgarh","59.7 (2017)"
"Sehore","58.9 (2017)"
"Raisen","52.8 (2017)"
"Harda","56.4 (2017)"
"Hoshangabad","60.9 (2017)"
"Katni","44.9 (2017)"
"Jabalpur","53.8 (2017)"
"Narsimhapur","67.9 (2017)"
"Mandla","57.1 (2017)"
"Seoni","56.4 (2017)"
"Guna","60.4 (2017)"
"Shahdol","61.6 (2017)"
"Jhabua","50.2 (2017)"
"East Nimar","62.8 (2017)"
"Sheopur","54.3 (2017)"
"Shivpuri","60.9 (2017)"
"Tikamgarh","0 (2017)"
"Umaria","48.4 (2017)"
"Ujjain","48.3 (2017)"
"West Nimar","57.9 (2017)"
"Vidisha","53.2 (2017)"
"Sidhi","51.1 (2017)"
"Singrauli","48.9 (2017)"
