"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Bhind","57.1 (2017)"
"Datia","52.9 (2017)"
"Chhatarpur","58.1 (2017)"
"Damoh","59.9 (2017)"
"Dewas","61.1 (2017)"
"Dhar","46.1 (2017)"
"Barwani","60.9 (2017)"
"Bhopal","55.2 (2017)"
"Betul","52.1 (2017)"
"Dindori","55.5 (2017)"
"Chhindwara","55.6 (2017)"
"Balaghat","53.8 (2017)"
"Ashoknagar","52.6 (2017)"
"Anuppur","50.8 (2017)"
"Alirajpur","45.1 (2017)"
"Burhanpur","60.7 (2017)"
"Morena","54.7 (2017)"
"Gwalior","56 (2017)"
"Panna","43.7 (2017)"
"Sagar","59.9 (2017)"
"Satna","48.6 (2017)"
"Rewa","51 (2017)"
"Neemuch","59.8 (2017)"
"Mandsaur","51.2 (2017)"
"Ratlam","49.6 (2017)"
"Shajapur","65.1 (2017)"
"Indore","61.2 (2017)"
"Rajgarh","65.3 (2017)"
"Sehore","54.3 (2017)"
"Raisen","50.9 (2017)"
"Harda","56.4 (2017)"
"Hoshangabad","62.8 (2017)"
"Katni","49.3 (2017)"
"Jabalpur","53.1 (2017)"
"Narsimhapur","66.8 (2017)"
"Mandla","55 (2017)"
"Seoni","53.6 (2017)"
"Guna","55.5 (2017)"
"Shahdol","58.5 (2017)"
"Jhabua","46.3 (2017)"
"East Nimar","60.4 (2017)"
"Sheopur","49.6 (2017)"
"Shivpuri","61.2 (2017)"
"Tikamgarh","62.1 (2017)"
"Umaria","48.5 (2017)"
"Ujjain","50.9 (2017)"
"West Nimar","54.7 (2017)"
"Vidisha","56.7 (2017)"
"Sidhi","51.9 (2017)"
"Singrauli","47.7 (2017)"
