"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Bhind","56.3 (2017)"
"Datia","54.2 (2017)"
"Chhatarpur","58.4 (2017)"
"Damoh","59.7 (2017)"
"Dewas","62.9 (2017)"
"Dhar","49 (2017)"
"Barwani","59.4 (2017)"
"Bhopal","57.9 (2017)"
"Betul","53.5 (2017)"
"Dindori","53 (2017)"
"Chhindwara","54.6 (2017)"
"Balaghat","56.1 (2017)"
"Ashoknagar","53.3 (2017)"
"Anuppur","52.4 (2017)"
"Alirajpur","49.1 (2017)"
"Burhanpur","63.5 (2017)"
"Morena","54.7 (2017)"
"Gwalior","57.7 (2017)"
"Panna","43 (2017)"
"Sagar","61.4 (2017)"
"Satna","49.7 (2017)"
"Rewa","51.6 (2017)"
"Neemuch","58 (2017)"
"Mandsaur","50.9 (2017)"
"Ratlam","50.7 (2017)"
"Shajapur","65.2 (2017)"
"Indore","60.7 (2017)"
"Rajgarh","62.1 (2017)"
"Sehore","56.8 (2017)"
"Raisen","51.9 (2017)"
"Harda","56.4 (2017)"
"Hoshangabad","61.8 (2017)"
"Katni","47.1 (2017)"
"Jabalpur","53.5 (2017)"
"Narsimhapur","67.4 (2017)"
"Mandla","56.1 (2017)"
"Seoni","55.1 (2017)"
"Guna","57.9 (2017)"
"Shahdol","60.2 (2017)"
"Jhabua","48.3 (2017)"
"East Nimar","61.7 (2017)"
"Sheopur","51.7 (2017)"
"Shivpuri","61 (2017)"
"Tikamgarh","62.1 (2017)"
"Umaria","48.4 (2017)"
"Ujjain","49.5 (2017)"
"West Nimar","56.5 (2017)"
"Vidisha","55 (2017)"
"Sidhi","51.5 (2017)"
"Singrauli","48.3 (2017)"
