"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Tawang","53.2 (2017)"
"West Kameng","40.9 (2017)"
"East Kameng","46.1 (2017)"
"Papum Pare","50.2 (2017)"
"Upper Subansiri","38.8 (2017)"
"West Siang","51.8 (2017)"
"East Siang","37.4 (2017)"
"Upper Siang","41 (2017)"
"Changlang","31.2 (2017)"
"Tirap","55.3 (2017)"
"Lower Subansiri","48.1 (2017)"
"Kurung Kumey","55.4 (2017)"
"Dibang Valley","42.5 (2017)"
"Lower Dibang Valley","32.9 (2017)"
"Lohit","44 (2017)"
"Anjaw","48.6 (2017)"
