"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Araria","58.5 (2017)"
"Banka","58.6 (2017)"
"Aurangabad","58.8 (2017)"
"Arwal","56.6 (2017)"
"Katihar","55.8 (2017)"
"Darbhanga","49.9 (2017)"
"Gopalganj","63.9 (2017)"
"Begusarai","61.3 (2017)"
"Khagaria","56.6 (2017)"
"Bhagalpur","58.2 (2017)"
"Bhojpur","53.6 (2017)"
"Buxar","49.4 (2017)"
"Kaimur","57 (2017)"
"Gaya","57.6 (2017)"
"Jamui","61.3 (2017)"
"Jehanabad","50.7 (2017)"
"Pashchim Champaran","61.5 (2017)"
"Purba Champaran","54.2 (2017)"
"Madhubani","58.2 (2017)"
"Kishanganj","50 (2017)"
"Madhepura","59.3 (2017)"
"Muzaffarpur","58 (2017)"
"Munger","56.1 (2017)"
"Lakhisarai","62.8 (2017)"
"Nalanda","58.4 (2017)"
"Patna","63.4 (2017)"
"Nawada","60.1 (2017)"
"Sheohar","59.3 (2017)"
"Sitamarhi","53.6 (2017)"
"Supaul","61.3 (2017)"
"Purnia","57.9 (2017)"
"Saharsa","50.9 (2017)"
"Siwan","61.5 (2017)"
"Saran","60.8 (2017)"
"Vaishali","51.9 (2017)"
"Samastipur","58.3 (2017)"
"Sheikhpura","47.5 (2017)"
"Rohtas","58.6 (2017)"
