"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Koriya","49 (2017)"
"Jashpur","57.6 (2017)"
"Raigarh","54.1 (2017)"
"Korba","59.4 (2017)"
"Janjgir-Champa","49.9 (2017)"
"Bilaspur","48.3 (2017)"
"Kabeerdham","54.9 (2017)"
"Durg","56.4 (2017)"
"Raipur","51.2 (2017)"
"Mahasamund","44.7 (2017)"
"Dhamtari","48.6 (2017)"
"Bastar","53.1 (2017)"
"Narayanpur","53.3 (2017)"
"Dantewada","49.3 (2017)"
"Bijapur","50.9 (2017)"
"Surguja","65.6 (2017)"
"Rajnandgaon","54 (2017)"
"Uttar Bastar Kanker","47.2 (2017)"
