"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Banas Kantha","63.8 (2017)"
"Gandhinagar","54.9 (2017)"
"Ahmadabad","60.6 (2017)"
"Amreli","55.8 (2017)"
"Bhavnagar","58.4 (2017)"
"Anand","47.4 (2017)"
"Dahod","63.1 (2017)"
"Bharuch","47.8 (2017)"
"Kachchh","56.6 (2017)"
"Patan","59.9 (2017)"
"Mahesana","60.5 (2017)"
"Sabar Kantha","59 (2017)"
"Surendranagar","47.1 (2017)"
"Rajkot","57.9 (2017)"
"Jamnagar","50.3 (2017)"
"Porbandar","52.6 (2017)"
"Junagadh","58.6 (2017)"
"Kheda","63.2 (2017)"
"Panch Mahals","65.1 (2017)"
"Narmada","48.6 (2017)"
"The Dangs","60 (2017)"
"Navsari","58.7 (2017)"
"Surat","63.2 (2017)"
"Tapi","66.3 (2017)"
"Vadodara","52.2 (2017)"
"Valsad","60.1 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
