"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Banas Kantha","64.6 (2017)"
"Gandhinagar","56 (2017)"
"Ahmadabad","61 (2017)"
"Amreli","57.1 (2017)"
"Bhavnagar","58.8 (2017)"
"Anand","47.5 (2017)"
"Dahod","65.6 (2017)"
"Bharuch","49 (2017)"
"Kachchh","57.3 (2017)"
"Patan","61.4 (2017)"
"Mahesana","62.9 (2017)"
"Sabar Kantha","58.9 (2017)"
"Surendranagar","49.1 (2017)"
"Rajkot","59.3 (2017)"
"Jamnagar","52.2 (2017)"
"Porbandar","54.8 (2017)"
"Junagadh","58.5 (2017)"
"Kheda","62.9 (2017)"
"Panch Mahals","66.4 (2017)"
"Narmada","49.2 (2017)"
"The Dangs","60.8 (2017)"
"Navsari","61.1 (2017)"
"Surat","65.1 (2017)"
"Tapi","65.5 (2017)"
"Vadodara","53.9 (2017)"
"Valsad","59.7 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
