"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Panchkula","56.2 (2017)"
"Ambala","55.2 (2017)"
"Kurukshetra","58.8 (2017)"
"Kaithal","59.8 (2017)"
"Karnal","51.1 (2017)"
"Panipat","52.9 (2017)"
"Sonipat","56.4 (2017)"
"Jind","51.5 (2017)"
"Fatehabad","56.3 (2017)"
"Sirsa","55.6 (2017)"
"Hisar","50 (2017)"
"Bhiwani","54.6 (2017)"
"Rohtak","59 (2017)"
"Jhajjar","63.4 (2017)"
"Mahendragarh","63 (2017)"
"Rewari","60.1 (2017)"
"Gurgaon","61.5 (2017)"
"Mewat","43.6 (2017)"
"Faridabad","60.4 (2017)"
"Palwal","52.3 (2017)"
"Yamunanagar","53 (2017)"
