"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Panchkula","53.1 (2017)"
"Ambala","52.9 (2017)"
"Kurukshetra","55.6 (2017)"
"Kaithal","58.2 (2017)"
"Karnal","49.1 (2017)"
"Panipat","52.7 (2017)"
"Sonipat","53.1 (2017)"
"Jind","44.6 (2017)"
"Fatehabad","54.7 (2017)"
"Sirsa","57.7 (2017)"
"Hisar","52.1 (2017)"
"Bhiwani","55.8 (2017)"
"Rohtak","56.2 (2017)"
"Jhajjar","63.1 (2017)"
"Mahendragarh","58.4 (2017)"
"Rewari","59.1 (2017)"
"Gurgaon","56.7 (2017)"
"Mewat","42.4 (2017)"
"Faridabad","59.2 (2017)"
"Palwal","52.7 (2017)"
"Yamunanagar","51.6 (2017)"
