"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Panchkula","54.6 (2017)"
"Ambala","54 (2017)"
"Kurukshetra","57.1 (2017)"
"Kaithal","59.1 (2017)"
"Karnal","50.1 (2017)"
"Panipat","52.8 (2017)"
"Sonipat","55.1 (2017)"
"Jind","48.1 (2017)"
"Fatehabad","55.5 (2017)"
"Sirsa","56.5 (2017)"
"Hisar","51 (2017)"
"Bhiwani","55.2 (2017)"
"Rohtak","57.8 (2017)"
"Jhajjar","63.3 (2017)"
"Mahendragarh","60.8 (2017)"
"Rewari","59.6 (2017)"
"Gurgaon","59.3 (2017)"
"Mewat","43.1 (2017)"
"Faridabad","59.9 (2017)"
"Palwal","52.5 (2017)"
"Yamunanagar","52.3 (2017)"
