"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Chatra","59.6 (2017)"
"Bokaro","58.1 (2017)"
"Garhwa","61.5 (2017)"
"Kodarma","55 (2017)"
"Giridih","55 (2017)"
"Deoghar","63.1 (2017)"
"Godda","69.3 (2017)"
"Pakur","63.3 (2017)"
"Dhanbad","66.9 (2017)"
"Lohardaga","56.3 (2017)"
"Palamu","63.1 (2017)"
"Latehar","57 (2017)"
"Hazaribagh","65.7 (2017)"
"Dumka","61.5 (2017)"
"Jamtara","56.7 (2017)"
"Khunti","63.1 (2017)"
"Gumla","63 (2017)"
"Sahibganj","53.9 (2017)"
"Purbi Singhbhum","55.9 (2017)"
"Ramgarh","64.2 (2017)"
"Ranchi","62.1 (2017)"
"Simdega","57.1 (2017)"
"Pashchimi Singhbhum","63.9 (2017)"
"Saraikela-kharsawan","62.7 (2017)"
