"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Badgam","61.4 (2017)"
"Baramula","62.7 (2017)"
"Bandipore","52 (2017)"
"Anantnag","57.3 (2017)"
"Doda","47.8 (2017)"
"Kupwara","58 (2017)"
"Leh(Ladakh)","45.7 (2017)"
"Kargil","41.5 (2017)"
"Punch","48.5 (2017)"
"Rajouri","49.4 (2017)"
"Kathua","44.7 (2017)"
"Srinagar","63.2 (2017)"
"Ganderbal","54.9 (2017)"
"Pulwama","60.8 (2017)"
"Shupiyan","62 (2017)"
"Kulgam","56.9 (2017)"
"Ramban","55.5 (2017)"
"Kishtwar","48.5 (2017)"
"Udhampur","45.6 (2017)"
"Reasi","45.6 (2017)"
"Jammu","50.4 (2017)"
"Samba","59.4 (2017)"
"Jammu & Kashmir - NA",""
