"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Belgaum","77.7 (2017)"
"Bagalkot","79.9 (2017)"
"Bangalore","68.2 (2017)"
"Bangalore Rural","70.6 (2017)"
"Bijapur","74.9 (2017)"
"Bidar","66.7 (2017)"
"Koppal","73 (2017)"
"Gadag","76.9 (2017)"
"Dharwad","71.7 (2017)"
"Haveri","72 (2017)"
"Bellary","73.4 (2017)"
"Chitradurga","76.1 (2017)"
"Davanagere","73 (2017)"
"Chikmagalur","63 (2017)"
"Mandya","67.1 (2017)"
"Hassan","76.1 (2017)"
"Dakshina Kannada","69 (2017)"
"Kodagu","63.5 (2017)"
"Mysore","62.4 (2017)"
"Chamarajanagar","68.5 (2017)"
"Gulbarga","63.2 (2017)"
"Kolar","65.7 (2017)"
"Chikkaballapura","64.3 (2017)"
"Raichur","76.6 (2017)"
"Uttara Kannada","78.2 (2017)"
"Shimoga","64.8 (2017)"
"Udupi","67.9 (2017)"
"Tumkur","74.2 (2017)"
"Yadgir","74.8 (2017)"
"Ramanagara","70.9 (2017)"
